,Number of movements ;  Permanent Arrivals ;,Number of movements ;  Long-term Residents returning ;,Number of movements ;  Long-term Visitors arriving ;,Number of movements ;  Permanent and Long-term Arrivals ;,Number of movements ;  Short-term Residents returning ;,Number of movements ;  Short-term Residents returning ;,Number of movements ;  Short-term Residents returning ;,Number of movements ;  Short-term Visitors arriving ;,Number of movements ;  Short-term Visitors arriving ;,Number of movements ;  Short-term Visitors arriving ;,Number of movements ;  Total Arrivals ;
Aug-1999,7840,5690,7790,21310,268500,0,0,355600,387400,380500,645400
Sep-1999,7600,6250,7930,21780,299300,0,0,353100,390700,384100,674200
Oct-1999,7500,6490,9260,23250,356000,0,0,397000,386300,386000,776200
Nov-1999,7260,8340,7450,23040,246700,0,0,416700,389600,386500,686400
Dec-1999,7980,12500,6830,27300,208300,0,0,460800,356400,386700,696400
Jan-2000,9990,6610,18550,35150,357500,0,0,360800,371100,387600,753400
Feb-2000,7240,5820,24810,37880,236500,0,0,434600,387600,390000,708900
Mar-2000,7170,5310,8350,20830,230800,0,0,411900,394900,394000,663500
Apr-2000,7800,6080,8440,22320,279600,0,0,405600,420800,398200,707500
May-2000,7010,4560,7550,19120,256100,0,0,319300,405600,401600,594500
Jun-2000,7310,5520,8150,20980,246400,0,0,347900,405100,403200,615300
Jul-2000,8240,6690,19790,34720,330400,0,0,429000,402400,404800,794200
Aug-2000,8650,6290,8620,23570,283000,0,0,372900,401900,406400,679400
Sep-2000,7260,5960,8730,21950,328400,0,0,403000,459100,408500,753300
Oct-2000,8280,6240,10940,25460,369600,0,0,426500,414800,410900,821600
Nov-2000,8100,7540,8200,23840,275800,0,0,459900,426300,413400,759500
Dec-2000,10120,13690,7930,31740,228900,0,0,559900,419100,415300,820600
Jan-2001,11740,8060,22850,42650,415500,0,0,416600,412400,416100,874800
Feb-2001,11760,6090,29810,47660,256300,0,0,429200,417800,416000,733100
Mar-2001,7920,6150,11720,25790,253100,0,0,428700,410700,415700,707600
Apr-2001,8540,5960,11320,25810,288200,0,0,405400,422600,415700,719300
May-2001,9540,4530,8550,22620,250200,0,0,330200,409100,415700,603000
Jun-2001,7210,5700,9850,22760,263600,0,0,370000,439000,414800,656300
Jul-2001,7900,6670,24450,39030,349400,0,0,446900,427300,412100,835300
Aug-2001,7580,6120,11090,24790,288500,0,0,384600,417500,407600,697900
Sep-2001,7350,6680,10910,24940,314700,0,0,366300,402900,402100,705900
Oct-2001,7020,6770,11870,25660,346100,0,0,378500,372500,396900,750300
Nov-2001,6760,7720,8870,23350,225700,0,0,376200,351200,393500,625200
Dec-2001,7570,14680,9120,31360,198700,0,0,523200,390000,392800,753200
Jan-2002,7980,7810,25030,40820,367500,0,0,379300,397400,394700,787600
Feb-2002,6880,7240,29610,43730,227200,0,0,437200,394700,398000,708100
Mar-2002,7310,7440,14660,29400,253900,0,0,446500,409800,401200,729800
Apr-2002,7080,5580,11380,24030,265600,0,0,360300,400200,403100,649900
May-2002,7300,5290,8870,21460,246900,0,0,329900,415900,403600,598300
Jun-2002,8180,6610,10020,24810,260800,0,0,339400,397600,403300,625000
Jul-2002,7590,7570,25790,40950,342900,0,0,418200,397900,402000,802000
Aug-2002,8230,7200,11940,27370,292300,0,0,371900,402600,401900,691600
Sep-2002,7570,7010,10680,25250,308300,0,0,358600,398900,403000,692100
Oct-2002,6780,7360,13300,27450,372500,0,0,428900,420700,404100,828800
Nov-2002,7210,8520,9780,25500,252400,0,0,437000,407300,403600,714900
Dec-2002,7250,14790,9200,31230,204600,0,0,534000,400000,402100,769800
Jan-2003,7870,8610,24690,41170,401100,0,0,396600,402500,399200,838900
Feb-2003,7310,7310,35040,49670,243500,0,0,427500,399000,396100,720600
Mar-2003,8410,7370,15360,31140,249200,0,0,392500,375300,393800,672800
Apr-2003,8230,7250,9880,25350,227200,0,0,321500,344400,393600,574100
May-2003,8000,5660,8250,21910,205100,0,0,260900,339100,396200,487900
Jun-2003,9470,7140,10190,26810,210800,0,0,308300,366000,401200,545900
Jul-2003,9750,7950,27090,44790,311200,0,0,415500,392400,407600,771500
Aug-2003,9930,7480,11980,29390,283900,0,0,362200,393700,414300,675600
Sep-2003,9010,7700,10810,27510,313900,0,0,385600,433600,420400,727000
Oct-2003,8100,8150,13380,29620,374300,0,0,435300,428200,423900,839300
Nov-2003,8740,8890,10350,27980,272800,0,0,473300,436400,425200,774100
Dec-2003,9080,15330,8710,33110,237800,0,0,566600,433000,424800,837500
Jan-2004,9650,8680,25760,44080,466000,0,0,420200,414300,424000,930200
Feb-2004,8820,7410,38200,54420,305900,0,0,454800,422600,423900,815100
Mar-2004,9330,7180,13910,30420,291300,0,0,432300,418500,425100,754000
Apr-2004,9440,7080,11720,28250,339500,0,0,402800,429800,427200,770600
May-2004,9690,5680,8750,24120,305800,0,0,341300,437100,429700,671200
Jun-2004,10060,6880,10680,27630,310800,0,0,367300,439800,431900,705700
Jul-2004,10200,8170,34940,53320,431700,0,0,467600,435800,433500,952600
Aug-2004,10680,7080,15000,32760,349200,0,0,403100,435500,434900,785000
Sep-2004,10180,7900,13250,31330,387900,0,0,393500,428100,436800,812700
Oct-2004,9700,8090,16300,34090,470300,0,0,447400,437300,439700,951700
Nov-2004,9470,8910,12420,30810,329300,0,0,478000,450800,443700,838200
Dec-2004,10280,15910,11420,37610,290500,0,0,591400,447300,447700,919500
Jan-2005,10890,9040,33600,53530,563400,0,0,456900,475000,450800,1073800
Feb-2005,9780,8510,39750,58040,322300,0,0,498800,449600,452600,879100
Mar-2005,11690,8900,17870,38460,342100,0,0,502100,460900,453500,882600
Apr-2005,10670,7030,15260,32950,370100,0,0,406600,448000,454300,809600
May-2005,9940,5910,12250,28100,329300,0,0,351300,449800,455000,708700
Jun-2005,9970,7250,14870,32100,354300,0,0,377000,450000,455600,763400
Jul-2005,9970,8410,36430,54810,480000,0,0,497000,462200,455800,1031900
Aug-2005,11500,7860,16090,35450,383000,0,0,429300,468000,455100,847800
Sep-2005,11140,8230,15050,34420,446500,0,0,412100,449800,453700,893000
Oct-2005,11050,8340,17770,37160,490300,0,0,461900,455200,452100,989400
Nov-2005,10800,8810,14250,33860,337700,0,0,470700,442700,450900,842200
Dec-2005,11360,16990,12560,40900,304500,0,0,599300,451500,450400,944700
Jan-2006,11370,9290,33900,54550,576500,0,0,461400,465500,450700,1092400
Feb-2006,10960,7850,46180,64990,342900,0,0,485000,456100,451400,892900
Mar-2006,11010,7910,19270,38190,334200,0,0,473400,446200,451600,845900
Apr-2006,11100,7950,16190,35230,379200,0,0,435000,463100,451100,849400
May-2006,10600,5970,13710,30280,349400,0,0,342900,444200,450600,722600
Jun-2006,10740,7530,16900,35170,364800,0,0,379700,457000,450900,779600
Jul-2006,10300,8990,39240,58530,499500,0,0,478200,452100,452000,1036200
Aug-2006,12160,8580,19460,40190,395000,0,0,410200,442800,454100,845400
Sep-2006,11700,8640,18470,38800,446800,0,0,423500,463000,456500,909100
Oct-2006,11470,8790,20880,41130,521500,0,0,472900,469500,458900,1035500
Nov-2006,11460,9620,18260,39340,364500,0,0,490000,463300,461100,893800
Dec-2006,11010,17220,15430,43660,323000,0,0,640900,473400,463000,1007600
Jan-2007,11780,8850,42370,63000,621600,0,0,451000,475100,464300,1135600
Feb-2007,11040,9070,47900,68010,351400,0,0,510200,449800,465000,929600
Mar-2007,12940,9220,26570,48720,376500,0,0,520000,486600,465500,945300
Apr-2007,11180,8010,22080,41270,433500,0,0,434900,470900,466000,909700
May-2007,11440,6510,17360,35320,379900,0,0,364700,463100,466400,780000
Jun-2007,13670,7960,21990,43620,400100,0,0,398000,474000,466900,841600
Jul-2007,10010,8160,45630,63800,539200,446600,449900,482800,461400,467800,1085800
Aug-2007,12830,8910,24310,46050,445500,455500,455000,434800,470200,468800,926300
Sep-2007,11400,8430,21330,41150,481400,456700,460400,434100,477700,469300,956600
Oct-2007,10860,8460,23770,43090,595600,468200,466100,468800,466500,469100,1107600
Nov-2007,12520,9890,20760,43170,421800,476600,471800,499200,474200,467900,964100
Dec-2007,12040,17450,18950,48440,368400,475400,477100,614800,459800,466200,1031700
Jan-2008,12970,9310,49530,71820,695600,483700,481700,440600,462400,464900,1208100
Feb-2008,13440,9300,57080,79810,413300,494900,485300,546400,463000,464500,1039500
Mar-2008,14670,10230,32120,57020,427400,508700,487700,513700,466300,465100,998200
Apr-2008,12490,8930,26790,48200,457300,483600,489100,424300,472100,465900,929800
May-2008,13190,7420,23020,43630,422300,490100,489300,380000,477500,465700,846000
Jun-2008,13090,8950,28400,50430,448400,493800,488500,382500,472800,463800,881300
Jul-2008,11500,8600,52620,72720,560700,475000,487200,530500,507500,460300,1163800
Aug-2008,15470,9160,31600,56240,489100,492900,486300,418800,455500,456200,964100
Sep-2008,13940,9440,28960,52340,506900,480300,486100,400000,440000,452000,959200
Oct-2008,13710,9250,34180,57140,616200,487200,486700,455700,448700,450000,1129100
Nov-2008,14020,10230,29390,53650,438200,492000,487700,470300,446400,450300,962200
Dec-2008,13220,17980,24340,55540,365900,482200,489000,611800,455800,452700,1033300
Jan-2009,14210,10120,61190,85510,701200,491300,490400,451900,446200,456000,1238600
Feb-2009,13960,9190,67440,90600,406600,496100,491900,501800,469800,459400,998900
Mar-2009,13670,9500,35570,58740,408700,481300,494000,486800,464100,461900,954200
Apr-2009,12060,9600,33070,54730,474600,497400,497000,452800,487600,463200,982100
May-2009,11440,7590,25590,44620,439600,502000,501700,372900,466700,463800,857200
Jun-2009,10970,8310,30580,49860,450500,508500,508300,362300,448300,464200,862700
Jul-2009,11180,9390,58960,79530,616500,518000,521300,459000,444200,465100,1155000
Aug-2009,13260,9050,30660,52970,543700,543800,530900,413200,459100,466400,1009800
Sep-2009,12550,9540,25050,47150,560900,539500,540800,437300,470000,468500,1045300
Oct-2009,11610,9700,30750,52060,682200,548500,549900,484800,482100,471000,1219100
Nov-2009,11610,10270,22200,44090,503800,555700,557600,485300,466600,473500,1033100
Dec-2009,11960,18540,20520,51020,438200,574900,563400,649400,477200,475600,1138500
Jan-2010,11470,9450,57510,78430,824900,562800,567000,448700,475000,477300,1352000
Feb-2010,12320,9830,61570,83710,455800,565000,569100,560100,479100,478800,1099700
Mar-2010,12890,9770,32140,54800,482800,582600,571000,526300,485300,480400,1063900
Apr-2010,10790,7880,26580,45240,561700,577300,573400,428900,474000,482600,1035800
May-2010,10550,7090,20340,37980,493000,560700,577200,375000,481100,485300,905900
Jun-2010,10480,8340,24910,43720,517500,584300,582100,403700,498200,488300,964900
Jul-2010,9710,9120,49040,67870,730900,610200,587300,510900,496100,491500,1309700
Aug-2010,11580,9280,26630,47480,591200,592300,592000,451300,495800,494200,1090000
Sep-2010,10840,10290,24350,45480,629800,604500,596200,475700,507300,495900,1151000
Oct-2010,9370,9120,29290,47770,766100,600900,600500,494500,492500,496300,1308300
Nov-2010,9480,9790,24300,43570,537200,601600,605100,518100,496900,495500,1098800
Dec-2010,10040,18170,21640,49850,464500,605900,611000,678400,494800,494000,1192700
Jan-2011,10510,9780,56240,76530,909400,622700,618700,473800,499300,492000,1459700
Feb-2011,10550,9050,64770,84370,516900,630000,627400,565100,490200,489800,1166400
Mar-2011,11610,9160,32620,53390,514400,631300,636000,500100,472700,488100,1067900
Apr-2011,11210,10290,25930,47430,595200,616500,637200,460300,494300,487200,1102900
May-2011,11030,7330,26390,44740,605600,684700,643100,384500,489800,487200,1034900
Jun-2011,11700,8470,25650,45830,563200,629300,647600,387700,480900,488400,996700
Jul-2011,11550,9340,49920,70810,805900,649300,651100,505600,496700,490200,1382300
Aug-2011,12890,9250,28920,51050,636900,649200,653500,467000,494200,492300,1154900
Sep-2011,12730,9420,29530,51680,696000,659500,655200,431000,480100,494400,1178800
Oct-2011,12380,9270,32520,54170,835700,659900,656500,499500,501600,496200,1389300
Nov-2011,12970,10080,27820,50870,584300,661700,658300,522800,500500,497800,1158000
Dec-2011,13920,17920,24220,56060,502400,656700,660600,674800,493900,499000,1233200
Jan-2012,14250,9860,60150,84260,951800,655600,663500,502000,495200,500100,1538000
Feb-2012,14550,9380,67560,91480,577300,681900,667200,565700,510200,501200,1234500
Mar-2012,14680,10090,34450,59220,553100,676400,671300,543800,505900,502300,1156100
Apr-2012,13340,8670,33120,55140,674400,689300,675100,465100,510000,503900,1194600
May-2012,12650,7190,25910,45750,575600,661300,678200,393400,501000,506400,1014800
Jun-2012,13470,9170,32000,54630,622300,694000,680500,420500,520600,510100,1097400
Jul-2012,11750,9600,54760,76100,853400,692900,682600,499900,501800,514500,1429300
Aug-2012,13220,9980,33890,57100,647900,664100,684800,498700,518300,519000,1203700
Sep-2012,12490,10170,34220,56880,720100,682500,687200,475500,527200,522500,1252500
Oct-2012,11950,9750,33850,55550,877800,702600,689600,521000,526400,524400,1454300
Nov-2012,11570,10270,29680,51520,610400,691700,692300,560100,534400,524700,1222100
Dec-2012,12950,18900,27960,59810,542000,699500,695400,721300,528000,523900,1323100
Jan-2013,12380,10000,67970,90350,999400,685500,699600,488700,527400,522800,1578400
Feb-2013,12690,10710,62270,85680,558800,691700,705300,617000,516100,522500,1261400
Mar-2013,14110,10980,39840,64930,585700,709200,712300,588900,527600,523500,1239500
Apr-2013,12820,9070,34080,55970,709300,720400,719500,461500,521500,525900,1226800
May-2013,13180,7240,26820,47240,637300,731900,726000,413300,525100,529100,1097900
Jun-2013,13580,9220,32190,54980,659100,730500,730900,447500,570400,532700,1161600
Jul-2013,11780,10100,56190,78070,902200,739000,734100,530900,537700,536400,1511200
Aug-2013,13600,9990,35750,59330,716100,731500,736300,529300,545200,540400,1304700
Sep-2013,12210,10000,33920,56130,775700,731200,738500,493900,554600,544900,1325700
Oct-2013,12030,9130,35180,56340,933700,756300,740900,542800,547100,549800,1532800
Nov-2013,11370,9980,29070,50410,655300,743400,743800,578100,548200,555000,1283800
Dec-2013,11930,18880,24680,55500,577000,741500,747100,789800,572700,560200,1422300
Jan-2014,11600,10840,61930,84380,1098000,760800,750000,562500,574500,565200,1744900
Feb-2014,11700,9550,67400,88650,612800,745500,752000,637600,572700,569300,1339000
Mar-2014,11720,9400,35800,56910,622400,756100,753300,600800,558500,572600,1280100
Apr-2014,10800,9140,31080,51020,751700,763600,754400,528600,575800,575400,1331200
May-2014,11580,7470,26430,45470,669200,763500,755400,472900,596000,578000,1187500
Jun-2014,10380,8900,29480,48770,672800,751300,756300,457900,574500,580500,1179400
Jul-2014,9620,9900,54340,73860,930600,761800,757400,589600,577500,582700,1594100
Aug-2014,11790,9430,35260,56480,765100,764600,758500,540900,578600,584700,1362400
Sep-2014,10450,9490,30880,50810,808500,766300,759800,521800,583400,586300,1381000
Oct-2014,10280,9330,33470,53080,934700,760900,761800,586700,591500,587900,1574500
Nov-2014,10310,9720,27040,47060,684500,771600,764300,611200,584900,589900,1342800
Dec-2014,11850,18770,24160,54780,588900,758200,766600,811800,595900,592600,1455600
Jan-2015,11270,9750,61650,82670,1150200,779300,768600,547400,590200,596000,1780400
Feb-2015,12000,10760,59850,82610,607300,753600,770000,726100,602000,599600,1416000
Mar-2015,13330,10960,38350,62640,646300,783700,771000,679300,621000,602900,1388200
Apr-2015,11690,8820,31130,51650,763600,774300,772200,550200,608200,605800,1365400
May-2015,11950,7940,24620,44500,684900,774000,774500,485700,608600,608600,1215100
Jun-2015,10580,9140,27810,47530,697900,787300,778400,488200,619900,612000,1233600
Jul-2015,9370,10080,57940,77390,940500,768300,783900,628300,611800,616800,1646100
Aug-2015,11740,9690,33510,54940,790400,798200,790200,574100,618600,623300,1419500
Sep-2015,10140,9730,30150,50010,834900,793100,795900,572000,637300,631200,1456900
Oct-2015,9370,9670,34290,53330,971300,790300,800400,625800,630000,639600,1650400
Nov-2015,9560,10580,27650,47800,705400,802900,803400,671500,649600,647700,1424700
Dec-2015,10390,20520,24200,55120,627800,808500,805000,901300,661900,655100,1584200
Jan-2016,10070,10360,61000,81430,1209200,810300,805600,617700,662300,661500,1908300
Feb-2016,10830,10900,71640,93380,668100,800800,806100,798600,644800,667200,1560100
Mar-2016,12070,11720,34600,58400,664200,809500,806000,757300,677400,672100,1479900
Apr-2016,11310,9280,30080,50670,812500,815300,809300,610500,684900,676700,1473700
May-2016,11710,8010,24550,44260,719300,809000,814600,541300,680400,680400,1304800
Jun-2016,10930,10270,28700,49900,721900,821000,820600,555100,697400,684200,1326800
Jul-2016,10570,11060,67090,88720,1024600,836800,826600,715800,692500,688300,1829100
Aug-2016,13430,10300,33340,57060,822300,836500,831900,632100,683700,692700,1511500
Sep-2016,11680,10740,34110,56530,883800,844100,837000,647000,715200,697700,1587300
Oct-2016,11090,10760,36460,58310,1024600,839500,842300,695900,704000,702500,1778900
Nov-2016,11170,11070,30120,52360,738700,839700,848200,721800,697800,707000,1512900
Dec-2016,11710,21700,26140,59540,680600,869100,855300,976100,708800,710800,1716300
Jan-2017,9680,12010,60290,81980,1260400,854800,862900,724000,706300,714400,2066300
Feb-2017,11960,11150,81960,105080,738700,901300,869600,787600,733100,718000,1631400
Mar-2017,11690,11520,36820,60020,690400,854300,874200,772200,715400,722000,1522700
Apr-2017,10820,11210,33810,55840,893900,891400,876800,700000,762800,726500,1649800
May-2017,10560,8610,26860,46020,776000,880300,877800,579100,734100,730800,1401100
Jun-2017,9330,10500,32110,51940,763200,872400,877900,606000,733700,734800,1421100
Jul-2017,8260,11180,72510,91950,1070700,874700,877700,746400,744100,738200,1909100
Aug-2017,10250,11020,36220,57490,863200,874800,877600,702900,741800,741000,1623600
Sep-2017,9990,10950,35450,56390,946200,896800,878200,663600,740100,743500,1666100
Oct-2017,8800,10660,40110,59570,1078700,888500,879700,741400,751400,746200,1879600
Nov-2017,9140,11000,31840,51990,773100,885700,882600,777100,747400,749500,1602200
Dec-2017,9280,20960,29080,59310,680800,871700,887300,1015000,735700,753100,1755100
Jan-2018,9120,11370,70680,91160,1337000,896900,894000,702600,764400,756800,2130700
Feb-2018,9350,11820,84440,105610,709000,885200,902000,914500,759800,759900,1729200
Mar-2018,10990,12410,45850,69240,740700,914700,910100,872400,784400,762600,1682300
Apr-2018,9390,9640,40450,59480,929000,925600,916400,679800,777300,764600,1668300
May-2018,9360,8790,30550,48700,822200,924500,920500,609400,765400,766200,1480400
Jun-2018,8970,10440,38230,57640,808700,913400,922900,646700,778200,767700,1513000
Jul-2018,8310,11370,82230,101900,1133600,929800,924700,774400,771500,769300,2009900
Aug-2018,10420,11010,39240,60670,916200,933800,927000,741700,775100,771300,1718600
Sep-2018,8490,10860,38470,57820,974000,917900,929900,690200,767400,773300,1722000
Oct-2018,7710,10900,43350,61960,1147800,944600,933000,754000,769100,774800,1963700
Nov-2018,7410,11330,36760,55490,810300,929200,935100,802200,762200,775700,1668000
Dec-2018,8150,21690,33050,62890,732800,936700,935200,1057900,769500,776200,1853600
Jan-2019,7990,11430,74490,93910,1392800,943100,933900,731100,779500,776800,2217900
Feb-2019,8600,11420,95080,115100,746100,921000,932200,927200,796100,778100,1788400
Mar-2019,9280,10980,50030,70280,753500,922700,931300,836300,778500,780500,1660100
Apr-2019,7780,10740,39070,57590,916400,918800,932200,700400,783100,784100,1674400
May-2019,9690,9500,34130,53320,866300,974600,935000,668300,823700,788400,1587900
Jun-2019,9060,10160,40620,59840,841900,948400,939000,660300,802000,792000,1562100
Jul-2019,7720,11220,76870,95810,1122600,931700,943900,790400,793700,794100,2008800
Aug-2019,9660,11880,40960,62500,931000,944500,949000,789200,808700,794200,1782700
Sep-2019,7520,10630,40170,58320,992800,947400,953800,695000,782400,792800,1746100
Oct-2019,7280,10770,41140,59190,1146000,943700,958300,774000,776600,790800,1979200
Nov-2019,7670,11600,36940,56210,849800,970300,962200,815900,777200,789000,1721900
Dec-2019,7810,21850,32250,61910,749700,963500,965800,1077700,786600,788200,1889300
Jan-2020,7810,11900,73560,93270,1397400,956200,969400,766600,739600,788900,2257300
Feb-2020,7780,11140,78920,97840,785400,928500,,685400,647000,,1568600
